
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=3,4,5
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=../data/dataset_cnn_eng/training_data.neg
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=../data/dataset_cnn_eng/training_data.pos

Loading data...
Vocabulary Size: 8813
Train/Dev split: 4500/500
Writing to /home/markyan7020/ADL2016/hw2/cnn-text-classification-tf/runs/1478948814

2016-11-12T19:06:55.121666: step 1, loss 1.82122, acc 0.59375
2016-11-12T19:06:55.178424: step 2, loss 2.19589, acc 0.5625
2016-11-12T19:06:55.234305: step 3, loss 2.52719, acc 0.453125
2016-11-12T19:06:55.291941: step 4, loss 1.63965, acc 0.5625
2016-11-12T19:06:55.349603: step 5, loss 2.17541, acc 0.5
2016-11-12T19:06:55.407213: step 6, loss 2.79868, acc 0.515625
2016-11-12T19:06:55.462698: step 7, loss 2.7659, acc 0.515625
2016-11-12T19:06:55.520200: step 8, loss 2.37526, acc 0.53125
2016-11-12T19:06:55.576932: step 9, loss 2.79547, acc 0.453125
2016-11-12T19:06:55.633536: step 10, loss 1.80139, acc 0.46875
2016-11-12T19:06:55.692053: step 11, loss 1.66722, acc 0.5
2016-11-12T19:06:55.749571: step 12, loss 1.57555, acc 0.59375
2016-11-12T19:06:55.808170: step 13, loss 1.36605, acc 0.578125
2016-11-12T19:06:55.865841: step 14, loss 2.11588, acc 0.484375
2016-11-12T19:06:55.923044: step 15, loss 1.83185, acc 0.46875
2016-11-12T19:06:55.979717: step 16, loss 2.10381, acc 0.484375
2016-11-12T19:06:56.035886: step 17, loss 1.94742, acc 0.484375
2016-11-12T19:06:56.092363: step 18, loss 1.80531, acc 0.5625
2016-11-12T19:06:56.150331: step 19, loss 1.56273, acc 0.5625
2016-11-12T19:06:56.206899: step 20, loss 1.72182, acc 0.5
2016-11-12T19:06:56.263589: step 21, loss 1.77039, acc 0.5
2016-11-12T19:06:56.320659: step 22, loss 1.77301, acc 0.53125
2016-11-12T19:06:56.376747: step 23, loss 2.04055, acc 0.453125
2016-11-12T19:06:56.432645: step 24, loss 1.5904, acc 0.515625
2016-11-12T19:06:56.489372: step 25, loss 1.92929, acc 0.4375
2016-11-12T19:06:56.545516: step 26, loss 2.02285, acc 0.5
2016-11-12T19:06:56.605448: step 27, loss 1.62361, acc 0.53125
2016-11-12T19:06:56.662047: step 28, loss 1.63989, acc 0.546875
2016-11-12T19:06:56.719230: step 29, loss 2.53404, acc 0.34375
2016-11-12T19:06:56.776402: step 30, loss 1.55476, acc 0.59375
2016-11-12T19:06:56.833469: step 31, loss 1.90545, acc 0.5
2016-11-12T19:06:56.891952: step 32, loss 1.78854, acc 0.5
2016-11-12T19:06:56.947834: step 33, loss 1.37108, acc 0.515625
2016-11-12T19:06:57.004727: step 34, loss 1.94601, acc 0.4375
2016-11-12T19:06:57.061187: step 35, loss 1.48263, acc 0.484375
2016-11-12T19:06:57.119315: step 36, loss 1.7402, acc 0.53125
2016-11-12T19:06:57.177830: step 37, loss 2.20131, acc 0.453125
2016-11-12T19:06:57.235284: step 38, loss 1.54485, acc 0.53125
2016-11-12T19:06:57.292434: step 39, loss 1.56627, acc 0.5
2016-11-12T19:06:57.349283: step 40, loss 1.56366, acc 0.5
2016-11-12T19:06:57.407746: step 41, loss 1.65375, acc 0.546875
2016-11-12T19:06:57.464271: step 42, loss 1.41531, acc 0.5625
2016-11-12T19:06:57.523989: step 43, loss 1.93045, acc 0.421875
2016-11-12T19:06:57.580131: step 44, loss 1.6152, acc 0.46875
2016-11-12T19:06:57.637149: step 45, loss 1.73807, acc 0.484375
2016-11-12T19:06:57.693734: step 46, loss 1.343, acc 0.515625
2016-11-12T19:06:57.749332: step 47, loss 1.68016, acc 0.53125
2016-11-12T19:06:57.804872: step 48, loss 1.12536, acc 0.59375
2016-11-12T19:06:57.861070: step 49, loss 1.31962, acc 0.5625
2016-11-12T19:06:57.917384: step 50, loss 1.80383, acc 0.5
2016-11-12T19:06:57.973099: step 51, loss 1.36213, acc 0.5
2016-11-12T19:06:58.029451: step 52, loss 1.89932, acc 0.53125
2016-11-12T19:06:58.086036: step 53, loss 1.41095, acc 0.59375
2016-11-12T19:06:58.143030: step 54, loss 1.44729, acc 0.578125
2016-11-12T19:06:58.199281: step 55, loss 2.18709, acc 0.421875
2016-11-12T19:06:58.258192: step 56, loss 1.06522, acc 0.6875
2016-11-12T19:06:58.317001: step 57, loss 1.18158, acc 0.609375
2016-11-12T19:06:58.373398: step 58, loss 1.56821, acc 0.5
2016-11-12T19:06:58.432363: step 59, loss 1.91482, acc 0.515625
2016-11-12T19:06:58.488863: step 60, loss 1.6876, acc 0.46875
2016-11-12T19:06:58.547424: step 61, loss 1.24025, acc 0.609375
2016-11-12T19:06:58.604186: step 62, loss 1.58713, acc 0.515625
2016-11-12T19:06:58.661252: step 63, loss 1.87053, acc 0.375
2016-11-12T19:06:58.717169: step 64, loss 1.70415, acc 0.484375
2016-11-12T19:06:58.775000: step 65, loss 1.79857, acc 0.4375
2016-11-12T19:06:58.831132: step 66, loss 1.56765, acc 0.5
